kodim01: 512x768, PSNR:49.8509, MS-SSIM:0.9998, Training:518.5074s, Eval:0.00300430s, FPS:332.8564
kodim02: 512x768, PSNR:49.4360, MS-SSIM:0.9993, Training:500.2041s, Eval:0.00323525s, FPS:309.0952
kodim03: 512x768, PSNR:50.8813, MS-SSIM:0.9995, Training:506.0365s, Eval:0.00306385s, FPS:326.3869
kodim04: 768x512, PSNR:48.1395, MS-SSIM:0.9994, Training:472.9129s, Eval:0.00189111s, FPS:528.7887
kodim05: 512x768, PSNR:48.9745, MS-SSIM:0.9998, Training:363.4444s, Eval:0.00211208s, FPS:473.4677
kodim06: 512x768, PSNR:47.0379, MS-SSIM:0.9984, Training:383.4974s, Eval:0.00371840s, FPS:268.9325
kodim07: 512x768, PSNR:51.4853, MS-SSIM:0.9997, Training:513.4938s, Eval:0.00211701s, FPS:472.3645
kodim08: 512x768, PSNR:44.6199, MS-SSIM:0.9992, Training:495.4938s, Eval:0.00405169s, FPS:246.8103
kodim09: 768x512, PSNR:50.3357, MS-SSIM:0.9995, Training:560.5579s, Eval:0.00378283s, FPS:264.3522
kodim10: 768x512, PSNR:49.6330, MS-SSIM:0.9995, Training:638.8227s, Eval:0.00390626s, FPS:255.9994
kodim11: 512x768, PSNR:49.6875, MS-SSIM:0.9995, Training:640.8265s, Eval:0.00374828s, FPS:266.7891
kodim12: 512x768, PSNR:49.0436, MS-SSIM:0.9990, Training:616.3286s, Eval:0.00380647s, FPS:262.7103
kodim13: 512x768, PSNR:43.6210, MS-SSIM:0.9992, Training:640.8038s, Eval:0.00372614s, FPS:268.3741
kodim14: 512x768, PSNR:49.0119, MS-SSIM:0.9996, Training:471.6556s, Eval:0.00218810s, FPS:457.0173
kodim15: 512x768, PSNR:43.9096, MS-SSIM:0.9961, Training:383.0751s, Eval:0.00222612s, FPS:449.2118
kodim16: 512x768, PSNR:51.0419, MS-SSIM:0.9996, Training:367.3637s, Eval:0.00203036s, FPS:492.5245
kodim17: 768x512, PSNR:48.7488, MS-SSIM:0.9989, Training:365.4929s, Eval:0.00207562s, FPS:481.7827
kodim18: 768x512, PSNR:45.6130, MS-SSIM:0.9992, Training:368.4420s, Eval:0.00211830s, FPS:472.0758
kodim19: 768x512, PSNR:49.3696, MS-SSIM:0.9996, Training:388.3547s, Eval:0.00218817s, FPS:457.0029
kodim20: 512x768, PSNR:43.9962, MS-SSIM:0.9950, Training:374.8282s, Eval:0.00211231s, FPS:473.4164
kodim21: 512x768, PSNR:48.7526, MS-SSIM:0.9995, Training:363.8144s, Eval:0.00211800s, FPS:472.1433
kodim22: 512x768, PSNR:49.4251, MS-SSIM:0.9995, Training:370.3429s, Eval:0.00213897s, FPS:467.5158
kodim23: 512x768, PSNR:47.2672, MS-SSIM:0.9985, Training:360.0409s, Eval:0.00198814s, FPS:502.9817
kodim24: 512x768, PSNR:44.3828, MS-SSIM:0.9996, Training:359.6921s, Eval:0.00207242s, FPS:482.5288
Average: 576x704, PSNR:48.0944, MS-SSIM:0.9990, Training:459.3347s, Eval:0.00272584s, FPS:395.2137
